A,B,C,D,E,F,G,H,I,class
0.084167594,0.620080727,0.620915033,0.097247689,0.017732999,0.15087453,0.144228282,0.109790794,0.099309722,0
0.166436517,0.636226034,0.243137255,0.234871366,0.067759659,0.266496061,0.163091523,0.266558891,0.19187117,0
0.102706711,0.660443996,0.660130719,0.113041911,0.03057017,0.231743939,0.188703199,0.115986114,0.133036055,0
0.096340848,0.544399596,0.581699346,0.100848361,0.018462446,0.152308127,0.143462226,0.114636294,0.108174887,0
0.106367437,0.398082745,0.307189542,0.094825385,0.013790093,0.118619995,0.097606526,0.11850696,0.10983071,0
0.069505058,0.380928355,0.223529412,0.052680328,0.006416597,0.088274147,0.064780539,0.075798802,0.074068567,0
0.06402573,0.409182644,0.475816993,0.068864393,0.009665777,0.108276016,0.07319351,0.093144955,0.07454519,0
0.136077123,0.580221998,0.546405229,0.158022009,0.046527907,0.26310203,0.178715686,0.175697648,0.172584961,0
0.118650352,0.59889001,0.614379085,0.146315851,0.03461773,0.208277296,0.166041682,0.164601685,0.15633401,0
0.113830182,0.882946519,0.681045752,0.226258787,0.060501794,0.245750822,0.139103324,0.259422285,0.13838983,0
0.147200593,0.621089808,0.219607843,0.191271342,0.055897142,0.265771939,0.160931443,0.219418452,0.172300694,0
0.097865176,0.773965691,0.596078431,0.146674458,0.040103134,0.241891379,0.157978665,0.166779796,0.125057419,0
0.141886839,0.629667003,0.375163399,0.224417925,0.04624471,0.187406621,0.132872139,0.258132985,0.150232654,0
0.106414535,1,0.505882353,0.21655469,0.057252496,0.242090638,0.145647059,0.24903259,0.127207858,0
0.061733758,0.56407669,0.196078431,0.058214006,0.010854759,0.140475333,0.085888159,0.077113123,0.073644031,0
0.073044123,0.513622603,0.436601307,0.074210503,0.017023876,0.182827532,0.101336284,0.09290125,0.094566061,0
0.147200593,0.521190716,0.488888889,0.11979465,0.01711247,0.12013273,0.206933429,0.118572767,0.150785805,0
0.034800413,0.022199798,0.294117647,0.008570138,6.66971E-05,0.00784203,0,0.037412683,0.027338241,1
0.052651094,0.510595358,0.277124183,0.041440452,0.006682855,0.111113834,0.079842954,0.056695867,0.060397402,1
0.092568204,0.316851665,0.294117647,0.046829344,0.005709141,0.085934532,0.083439773,0.062879895,0.092998362,1
0.05201853,0.079717457,0.249673203,0.046845565,0.001797501,0.024652237,0.004724175,0.078104546,0.050029587,1
0.058170243,0.16851665,0.137254902,0.036976785,0.002262834,0.039325475,0.022278363,0.066474735,0.051428303,1
0.035965888,0.073158426,0.34379085,0.021717897,0.000862248,0.022294504,0.006322788,0.050876638,0.033574693,1
0.093437152,0.149344097,0.282352941,0.066977593,0.005523925,0.061228575,0.045766098,0.097115201,0.089140224,1
0.062662217,0.228557013,0.133333333,0.042289686,0.003718364,0.059546624,0.028301564,0.070883373,0.058428861,1
0.021254154,0.475782038,0.430065359,0.016832305,0.00155642,0.04671706,0.053535923,0.030418829,0.022581855,1
0.073527771,0.281533804,0.190849673,0.043081816,0.005001701,0.079978752,0.049230027,0.067872967,0.076053399,1
0.019280682,0.463673058,0.346405229,0.018483056,0.001976293,0.055789846,0.041734246,0.03890523,0.021589838,1
0.015202076,0.312815338,0.210457516,0,0,0.012240076,0.023736272,0.017052106,0.012770659,1
0.027808676,0.458123108,0.522875817,0.020975884,0.002402466,0.062692627,0.064884395,0.030826692,0.03280677,1
0.034111976,0.36629667,0.508496732,0.017067094,0.001479031,0.044129669,0.063193397,0.022853787,0.038825557,1
0.054505006,0.100403633,0.150326797,0.049108715,0.000881369,0.009634544,0.002647304,0.080641757,0.038713709,1
0.049314053,0.324419778,0.501960784,0.027594973,0.000954382,0.020269547,0.065488947,0.042234436,0.043291393,1
0.140328939,0.191220989,0.154248366,0.056918804,0.006214734,0.080043923,0.060636478,0.081744338,0.13599158,1
